Wavelength 	 Reflection 	 Transmisson 	 Absorption 
4.959998 	 0.013163 	 0.982502 	 0.004334 
4.990003 	 0.012612 	 0.982929 	 0.004459 
5.019996 	 0.012069 	 0.983327 	 0.004604 
5.050003 	 0.011533 	 0.983707 	 0.004760 
5.080002 	 0.011004 	 0.984069 	 0.004927 
5.110001 	 0.010482 	 0.984412 	 0.005106 
5.139996 	 0.009967 	 0.984746 	 0.005287 
5.169998 	 0.009460 	 0.985064 	 0.005476 
5.200001 	 0.008959 	 0.985370 	 0.005671 
5.229998 	 0.008465 	 0.985655 	 0.005880 
5.260002 	 0.007978 	 0.985931 	 0.006091 
5.289998 	 0.007499 	 0.986180 	 0.006321 
5.319998 	 0.007027 	 0.986402 	 0.006570 
5.349997 	 0.006564 	 0.986603 	 0.006833 
5.379998 	 0.006110 	 0.986768 	 0.007122 
5.409997 	 0.005666 	 0.986915 	 0.007419 
5.439996 	 0.005232 	 0.987044 	 0.007724 
5.470001 	 0.004808 	 0.987152 	 0.008040 
5.499995 	 0.004393 	 0.987235 	 0.008371 
5.530005 	 0.003990 	 0.987285 	 0.008725 
5.560004 	 0.003599 	 0.987301 	 0.009100 
5.589996 	 0.003220 	 0.987278 	 0.009502 
5.619998 	 0.002856 	 0.987223 	 0.009921 
5.650005 	 0.002506 	 0.987130 	 0.010363 
5.680000 	 0.002172 	 0.987006 	 0.010822 
5.710000 	 0.001855 	 0.986826 	 0.011318 
5.740001 	 0.001558 	 0.986593 	 0.011849 
5.769996 	 0.001280 	 0.986311 	 0.012409 
5.800004 	 0.001025 	 0.985983 	 0.012992 
5.829997 	 0.000794 	 0.985590 	 0.013616 
5.860004 	 0.000591 	 0.985119 	 0.014290 
5.889998 	 0.000417 	 0.984581 	 0.015003 
5.919997 	 0.000276 	 0.983962 	 0.015763 
5.949996 	 0.000171 	 0.983255 	 0.016574 
5.980003 	 0.000106 	 0.982450 	 0.017444 
6.010001 	 0.000086 	 0.981541 	 0.018373 
6.039997 	 0.000116 	 0.980513 	 0.019371 
6.069999 	 0.000201 	 0.979355 	 0.020444 
6.100003 	 0.000349 	 0.978059 	 0.021593 
6.130005 	 0.000566 	 0.976601 	 0.022833 
6.160000 	 0.000862 	 0.974966 	 0.024173 
6.189996 	 0.001246 	 0.973140 	 0.025614 
6.220001 	 0.001729 	 0.971085 	 0.027186 
6.250000 	 0.002325 	 0.968810 	 0.028865 
6.280000 	 0.003049 	 0.966238 	 0.030713 
6.309998 	 0.003917 	 0.963368 	 0.032715 
6.340002 	 0.004950 	 0.960153 	 0.034897 
6.369995 	 0.006172 	 0.956552 	 0.037277 
6.400000 	 0.007608 	 0.952502 	 0.039890 
6.430000 	 0.009290 	 0.947962 	 0.042747 
6.460004 	 0.011256 	 0.942851 	 0.045893 
6.489995 	 0.013548 	 0.937104 	 0.049349 
6.519996 	 0.016216 	 0.930611 	 0.053173 
6.550004 	 0.019319 	 0.923278 	 0.057403 
6.580001 	 0.022927 	 0.914981 	 0.062092 
6.609997 	 0.027122 	 0.905569 	 0.067309 
6.640003 	 0.032001 	 0.894882 	 0.073117 
6.670002 	 0.037677 	 0.882711 	 0.079611 
6.700003 	 0.044285 	 0.868843 	 0.086871 
6.730003 	 0.051984 	 0.853000 	 0.095016 
6.760000 	 0.060957 	 0.834883 	 0.104160 
6.790003 	 0.071422 	 0.814134 	 0.114445 
6.819995 	 0.083626 	 0.790359 	 0.126015 
6.850003 	 0.097853 	 0.763112 	 0.139035 
6.879992 	 0.114419 	 0.731918 	 0.153663 
6.910006 	 0.133662 	 0.696280 	 0.170058 
6.939994 	 0.155927 	 0.655729 	 0.188343 
6.970001 	 0.181536 	 0.609872 	 0.208592 
7.000007 	 0.210731 	 0.558499 	 0.230770 
7.029992 	 0.243599 	 0.501707 	 0.254694 
7.060003 	 0.279967 	 0.440081 	 0.279952 
7.090003 	 0.319273 	 0.374900 	 0.305827 
7.120005 	 0.360454 	 0.308294 	 0.331253 
7.150007 	 0.401848 	 0.243306 	 0.354846 
7.180005 	 0.441264 	 0.183760 	 0.374975 
7.209996 	 0.476164 	 0.133809 	 0.390027 
7.239994 	 0.504086 	 0.097273 	 0.398641 
7.269996 	 0.523161 	 0.076891 	 0.399949 
7.299998 	 0.532584 	 0.073777 	 0.393639 
7.329999 	 0.532557 	 0.087118 	 0.380325 
7.359995 	 0.523968 	 0.114387 	 0.361645 
7.390000 	 0.508345 	 0.152173 	 0.339482 
7.419994 	 0.487595 	 0.196934 	 0.315471 
7.449992 	 0.463603 	 0.245469 	 0.290927 
7.479991 	 0.437971 	 0.295179 	 0.266850 
7.510007 	 0.411940 	 0.344148 	 0.243912 
7.540000 	 0.386392 	 0.391089 	 0.222519 
7.570004 	 0.361904 	 0.435237 	 0.202859 
7.599997 	 0.338817 	 0.476198 	 0.184985 
7.629996 	 0.317293 	 0.513851 	 0.168856 
7.659998 	 0.297388 	 0.548258 	 0.154354 
7.690001 	 0.279071 	 0.579569 	 0.141360 
7.720001 	 0.262269 	 0.608001 	 0.129730 
7.749995 	 0.246888 	 0.633792 	 0.119320 
7.780002 	 0.232815 	 0.657190 	 0.109995 
7.809998 	 0.219940 	 0.678422 	 0.101638 
7.840001 	 0.208152 	 0.697715 	 0.094133 
7.870008 	 0.197352 	 0.715270 	 0.087378 
7.899997 	 0.187441 	 0.731268 	 0.081290 
7.930004 	 0.178333 	 0.745874 	 0.075793 
7.960009 	 0.169949 	 0.759237 	 0.070814 
7.990007 	 0.162218 	 0.771489 	 0.066293 
8.019997 	 0.155076 	 0.782738 	 0.062185 
8.049996 	 0.148467 	 0.793094 	 0.058440 
8.080003 	 0.142339 	 0.802643 	 0.055018 
8.109993 	 0.136647 	 0.811468 	 0.051885 
8.140008 	 0.131351 	 0.819638 	 0.049011 
8.170001 	 0.126414 	 0.827220 	 0.046367 
8.199992 	 0.121804 	 0.834261 	 0.043934 
8.230001 	 0.117492 	 0.840820 	 0.041688 
8.260003 	 0.113453 	 0.846933 	 0.039614 
8.289995 	 0.109664 	 0.852651 	 0.037686 
8.319998 	 0.106102 	 0.857999 	 0.035899 
8.350010 	 0.102750 	 0.863012 	 0.034238 
8.380005 	 0.099591 	 0.867715 	 0.032694 
8.410005 	 0.096609 	 0.872144 	 0.031246 
8.440006 	 0.093791 	 0.876293 	 0.029916 
8.470006 	 0.091125 	 0.880238 	 0.028637 
8.500004 	 0.088598 	 0.883936 	 0.027465 
8.529997 	 0.086202 	 0.887443 	 0.026355 
8.560007 	 0.083925 	 0.890754 	 0.025321 
8.590008 	 0.081761 	 0.893891 	 0.024348 
8.619996 	 0.079701 	 0.896874 	 0.023426 
8.649995 	 0.077738 	 0.899700 	 0.022561 
8.680003 	 0.075866 	 0.902391 	 0.021743 
8.709992 	 0.074078 	 0.904948 	 0.020973 
8.740011 	 0.072370 	 0.907387 	 0.020243 
8.770007 	 0.070736 	 0.909712 	 0.019551 
8.800002 	 0.069172 	 0.911929 	 0.018899 
8.829996 	 0.067674 	 0.914056 	 0.018271 
8.860012 	 0.066236 	 0.916075 	 0.017689 
8.889995 	 0.064857 	 0.918021 	 0.017122 
8.919997 	 0.063532 	 0.919871 	 0.016597 
8.949987 	 0.062259 	 0.921656 	 0.016085 
8.979993 	 0.061034 	 0.923363 	 0.015603 
9.010010 	 0.059855 	 0.925006 	 0.015139 
9.040011 	 0.058719 	 0.926579 	 0.014703 
9.069993 	 0.057624 	 0.928093 	 0.014283 
9.100009 	 0.056569 	 0.929554 	 0.013877 
9.130002 	 0.055549 	 0.930950 	 0.013501 
9.159998 	 0.054566 	 0.932306 	 0.013129 
9.189994 	 0.053615 	 0.933609 	 0.012776 
9.219989 	 0.052695 	 0.934865 	 0.012440 
9.250009 	 0.051806 	 0.936078 	 0.012116 
9.279996 	 0.050946 	 0.937250 	 0.011804 
9.310005 	 0.050112 	 0.938376 	 0.011512 
9.340004 	 0.049305 	 0.939474 	 0.011221 
9.369993 	 0.048523 	 0.940527 	 0.010951 
9.399998 	 0.047764 	 0.941553 	 0.010683 
9.429989 	 0.047027 	 0.942541 	 0.010431 
9.459992 	 0.046313 	 0.943500 	 0.010187 
9.490007 	 0.045619 	 0.944427 	 0.009955 
9.520002 	 0.044944 	 0.945329 	 0.009726 
9.550004 	 0.044289 	 0.946203 	 0.009508 
9.580012 	 0.043652 	 0.947054 	 0.009295 
9.609994 	 0.043032 	 0.947874 	 0.009094 
9.640010 	 0.042429 	 0.948677 	 0.008895 
9.669995 	 0.041842 	 0.949451 	 0.008707 
9.700011 	 0.041270 	 0.950207 	 0.008523 
9.729993 	 0.040713 	 0.950942 	 0.008345 
9.760002 	 0.040170 	 0.951655 	 0.008175 
9.790004 	 0.039641 	 0.952351 	 0.008008 
9.819999 	 0.039125 	 0.953024 	 0.007851 
9.849985 	 0.038622 	 0.953683 	 0.007695 
9.879991 	 0.038131 	 0.954327 	 0.007542 
9.909984 	 0.037652 	 0.954952 	 0.007396 
9.939996 	 0.037184 	 0.955561 	 0.007256 
9.969990 	 0.036727 	 0.956153 	 0.007120 
10.000000 	 0.036280 	 0.956736 	 0.006984 
10.029990 	 0.035844 	 0.957300 	 0.006856 
10.059991 	 0.035418 	 0.957854 	 0.006728 
10.090003 	 0.035001 	 0.958388 	 0.006611 
10.119989 	 0.034593 	 0.958915 	 0.006492 
10.149983 	 0.034194 	 0.959428 	 0.006378 
10.180017 	 0.033804 	 0.959930 	 0.006266 
10.209985 	 0.033422 	 0.960421 	 0.006157 
10.239991 	 0.033048 	 0.960902 	 0.006050 
10.269998 	 0.032682 	 0.961368 	 0.005950 
10.300005 	 0.032323 	 0.961825 	 0.005852 
10.330009 	 0.031972 	 0.962277 	 0.005751 
10.360010 	 0.031627 	 0.962711 	 0.005662 
10.390006 	 0.031290 	 0.963143 	 0.005567 
10.419995 	 0.030959 	 0.963565 	 0.005476 
10.450012 	 0.030635 	 0.963975 	 0.005390 
10.479983 	 0.030317 	 0.964377 	 0.005307 
10.510016 	 0.030005 	 0.964772 	 0.005223 
10.539999 	 0.029699 	 0.965160 	 0.005141 
10.570005 	 0.029399 	 0.965538 	 0.005064 
10.599995 	 0.029104 	 0.965910 	 0.004986 
10.630005 	 0.028815 	 0.966273 	 0.004912 
10.659996 	 0.028531 	 0.966631 	 0.004838 
10.690004 	 0.028252 	 0.966981 	 0.004767 
10.719990 	 0.027978 	 0.967327 	 0.004695 
10.749991 	 0.027709 	 0.967655 	 0.004637 
10.780005 	 0.027445 	 0.967998 	 0.004557 
10.809993 	 0.027184 	 0.968308 	 0.004507 
10.839991 	 0.026929 	 0.968633 	 0.004438 
10.869998 	 0.026678 	 0.968948 	 0.004374 
10.900014 	 0.026432 	 0.969257 	 0.004311 
10.929997 	 0.026189 	 0.969563 	 0.004247 
10.959985 	 0.025951 	 0.969846 	 0.004203 
10.990017 	 0.025716 	 0.970145 	 0.004139 
11.020012 	 0.025485 	 0.970424 	 0.004091 
11.050009 	 0.025258 	 0.970714 	 0.004028 
11.080005 	 0.025035 	 0.970993 	 0.003972 
11.110000 	 0.024815 	 0.971264 	 0.003921 
11.139993 	 0.024599 	 0.971516 	 0.003885 
11.169981 	 0.024386 	 0.971798 	 0.003816 
11.200006 	 0.024176 	 0.972043 	 0.003780 
11.229983 	 0.023970 	 0.972305 	 0.003725 
11.259993 	 0.023766 	 0.972554 	 0.003680 
11.289995 	 0.023567 	 0.972800 	 0.003633 
11.319986 	 0.023369 	 0.973039 	 0.003592 
11.350008 	 0.023175 	 0.973283 	 0.003542 
11.380017 	 0.022984 	 0.973514 	 0.003502 
11.410011 	 0.022795 	 0.973754 	 0.003451 
11.439990 	 0.022609 	 0.973983 	 0.003407 
11.469994 	 0.022426 	 0.974200 	 0.003374 
11.499981 	 0.022246 	 0.974405 	 0.003349 
11.529991 	 0.022068 	 0.974633 	 0.003299 
11.559981 	 0.021893 	 0.974843 	 0.003264 
11.589992 	 0.021720 	 0.975056 	 0.003224 
11.619980 	 0.021549 	 0.975268 	 0.003183 
11.649988 	 0.021381 	 0.975464 	 0.003155 
11.680014 	 0.021215 	 0.975678 	 0.003106 
11.710013 	 0.021052 	 0.975870 	 0.003078 
11.739983 	 0.020890 	 0.976069 	 0.003040 
11.770014 	 0.020731 	 0.976247 	 0.003022 
11.800013 	 0.020574 	 0.976446 	 0.002980 
11.829980 	 0.020419 	 0.976636 	 0.002944 
11.860005 	 0.020267 	 0.976818 	 0.002915 
11.889994 	 0.020115 	 0.976998 	 0.002887 
11.919993 	 0.019967 	 0.977183 	 0.002850 
11.950001 	 0.019820 	 0.977365 	 0.002815 
11.980017 	 0.019674 	 0.977538 	 0.002787 
12.009992 	 0.019531 	 0.977704 	 0.002765 
12.040021 	 0.019390 	 0.977876 	 0.002734 
12.070006 	 0.019250 	 0.978044 	 0.002706 
12.099994 	 0.019112 	 0.978211 	 0.002677 
12.129985 	 0.018976 	 0.978373 	 0.002651 
12.159977 	 0.018842 	 0.978537 	 0.002621 
12.190018 	 0.018709 	 0.978694 	 0.002597 
12.220009 	 0.018577 	 0.978848 	 0.002574 
12.249998 	 0.018448 	 0.979005 	 0.002547 
12.279984 	 0.018320 	 0.979160 	 0.002520 
12.310015 	 0.018193 	 0.979308 	 0.002499 
12.339991 	 0.018068 	 0.979463 	 0.002469 
12.370012 	 0.017945 	 0.979601 	 0.002455 
12.400025 	 0.017822 	 0.979746 	 0.002431 
12.429978 	 0.017702 	 0.979901 	 0.002397 
12.460024 	 0.017583 	 0.980034 	 0.002383 
12.490008 	 0.017465 	 0.980180 	 0.002355 
12.519980 	 0.017348 	 0.980319 	 0.002333 
12.549991 	 0.017233 	 0.980450 	 0.002317 
12.579988 	 0.017119 	 0.980589 	 0.002292 
12.610022 	 0.017007 	 0.980726 	 0.002268 
12.639988 	 0.016895 	 0.980858 	 0.002247 
12.669989 	 0.016785 	 0.980997 	 0.002218 
12.700025 	 0.016676 	 0.981116 	 0.002208 
12.729988 	 0.016569 	 0.981248 	 0.002183 
12.759985 	 0.016462 	 0.981371 	 0.002167 
12.790014 	 0.016357 	 0.981491 	 0.002152 
12.820020 	 0.016253 	 0.981615 	 0.002132 
12.850002 	 0.016150 	 0.981739 	 0.002112 
12.880014 	 0.016048 	 0.981863 	 0.002089 
12.910000 	 0.015947 	 0.981977 	 0.002076 
12.940014 	 0.015847 	 0.982095 	 0.002058 
12.970000 	 0.015749 	 0.982211 	 0.002040 
13.000013 	 0.015651 	 0.982323 	 0.002026 
13.029995 	 0.015554 	 0.982443 	 0.002002 
13.060002 	 0.015459 	 0.982556 	 0.001986 
13.089976 	 0.015364 	 0.982672 	 0.001964 
13.119973 	 0.015270 	 0.982772 	 0.001958 
13.149993 	 0.015178 	 0.982893 	 0.001929 
13.179977 	 0.015086 	 0.982989 	 0.001925 
13.209981 	 0.014995 	 0.983098 	 0.001907 
13.240006 	 0.014905 	 0.983206 	 0.001889 
13.269991 	 0.014816 	 0.983312 	 0.001872 
13.299995 	 0.014728 	 0.983415 	 0.001857 
13.330016 	 0.014641 	 0.983519 	 0.001840 
13.359994 	 0.014555 	 0.983615 	 0.001831 
13.389988 	 0.014469 	 0.983714 	 0.001817 
13.419997 	 0.014385 	 0.983818 	 0.001798 
13.450020 	 0.014301 	 0.983917 	 0.001782 
13.479996 	 0.014218 	 0.984017 	 0.001765 
13.509984 	 0.014136 	 0.984105 	 0.001760 
13.539984 	 0.014054 	 0.984202 	 0.001744 
13.569994 	 0.013974 	 0.984301 	 0.001726 
13.600015 	 0.013894 	 0.984388 	 0.001718 
13.629982 	 0.013815 	 0.984483 	 0.001702 
13.660020 	 0.013736 	 0.984573 	 0.001691 
13.690004 	 0.013659 	 0.984659 	 0.001682 
13.719993 	 0.013582 	 0.984752 	 0.001666 
13.749989 	 0.013506 	 0.984843 	 0.001651 
13.779989 	 0.013430 	 0.984928 	 0.001642 
13.809993 	 0.013355 	 0.985014 	 0.001631 
13.840000 	 0.013281 	 0.985103 	 0.001615 
13.870010 	 0.013208 	 0.985193 	 0.001599 
13.900022 	 0.013135 	 0.985271 	 0.001593 
13.929969 	 0.013063 	 0.985359 	 0.001577 
13.959981 	 0.012992 	 0.985435 	 0.001573 
13.989992 	 0.012921 	 0.985524 	 0.001555 
14.020002 	 0.012851 	 0.985605 	 0.001543 
14.050009 	 0.012782 	 0.985686 	 0.001532 
14.080012 	 0.012713 	 0.985766 	 0.001521 
14.110011 	 0.012645 	 0.985846 	 0.001510 
14.140005 	 0.012577 	 0.985921 	 0.001502 
14.169993 	 0.012510 	 0.986004 	 0.001486 
14.199973 	 0.012444 	 0.986077 	 0.001479 
14.230014 	 0.012378 	 0.986155 	 0.001467 
14.259978 	 0.012313 	 0.986229 	 0.001459 
14.290001 	 0.012248 	 0.986303 	 0.001450 
14.320014 	 0.012184 	 0.986376 	 0.001440 
14.350016 	 0.012120 	 0.986451 	 0.001429 
14.380006 	 0.012057 	 0.986522 	 0.001421 
14.409983 	 0.011994 	 0.986597 	 0.001409 
14.440016 	 0.011932 	 0.986664 	 0.001404 
14.469965 	 0.011871 	 0.986737 	 0.001392 
14.499969 	 0.011810 	 0.986814 	 0.001375 
14.530026 	 0.011750 	 0.986879 	 0.001371 
14.559997 	 0.011690 	 0.986950 	 0.001361 
14.590020 	 0.011630 	 0.987020 	 0.001350 
14.620026 	 0.011571 	 0.987085 	 0.001343 
14.650011 	 0.011513 	 0.987153 	 0.001334 
14.679977 	 0.011455 	 0.987220 	 0.001325 
14.709992 	 0.011398 	 0.987285 	 0.001317 
14.739987 	 0.011341 	 0.987347 	 0.001313 
14.770031 	 0.011284 	 0.987416 	 0.001300 
14.799978 	 0.011228 	 0.987482 	 0.001290 
14.829974 	 0.011172 	 0.987545 	 0.001283 
14.860019 	 0.011117 	 0.987610 	 0.001273 
14.889963 	 0.011062 	 0.987671 	 0.001267 
14.920029 	 0.011008 	 0.987735 	 0.001257 
14.949992 	 0.010954 	 0.987795 	 0.001251 
14.980002 	 0.010901 	 0.987853 	 0.001246 
15.009982 	 0.010848 	 0.987914 	 0.001238 
15.040006 	 0.010795 	 0.987979 	 0.001226 
15.070000 	 0.010743 	 0.988041 	 0.001216 
15.100038 	 0.010691 	 0.988096 	 0.001213 
15.129966 	 0.010640 	 0.988154 	 0.001206 
15.160014 	 0.010589 	 0.988212 	 0.001199 
15.190027 	 0.010538 	 0.988270 	 0.001192 
15.220005 	 0.010488 	 0.988325 	 0.001186 
15.250024 	 0.010438 	 0.988391 	 0.001170 
15.280006 	 0.010389 	 0.988445 	 0.001166 
15.310028 	 0.010340 	 0.988499 	 0.001161 
15.340011 	 0.010291 	 0.988551 	 0.001157 
15.370034 	 0.010243 	 0.988609 	 0.001148 
15.400015 	 0.010195 	 0.988661 	 0.001144 
15.430035 	 0.010148 	 0.988718 	 0.001134 
